Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.20-23.194.108.108-53884-443-6,192.168.10.20,53884,23.194.108.108,443,6,7/9/2018 17:36,45128554,9,13,2577,6115,1933,0,286.33333,640.48556,1360,0,470.38462,624.38844,192.60533,0.4875,2148978.762,9809267.885,4.50E+07,0,4.51E+07,5636499.125,1.59E+07,4.50E+07,124,4.51E+07,3760712.833,1.30E+07,4.50E+07,0,0,0,0,0,180,296,0.19943,0.28807,0,1933,377.91304,613.83918,376798.5376,0,1,0,0,0,0,0,0,1,395.09091,286.33333,470.38462,0,0,0,0,0,0,9,2577,13,6115,-1,279,4,0,151041,0,151041,151041,4.50E+07,0,4.50E+07,4.50E+07,No Label
192.168.255.255-192.168.28.35-1947-58447-17,192.168.28.35,58447,192.168.255.255,1947,17,7/9/2018 17:35,81155887,2,1,80,40,40,40,40,0,40,40,40,0,1.47864,0.03697,4.06E+07,397843.0238,4.09E+07,4.03E+07,4.09E+07,4.09E+07,0,4.09E+07,4.09E+07,0,0,0,0,0,0,0,0,0,16,8,0.02464,0.01232,40,40,40,0,0,0,0,0,0,0,0,0,0,0,53.33333,40,40,0,0,0,0,0,0,2,80,1,40,-1,-1,2,0,0,0,0,0,4.06E+07,397843.0238,4.09E+07,4.03E+07,No Label
192.168.255.255-192.168.17.16-137-137-17,192.168.17.16,137,192.168.255.255,137,17,7/9/2018 17:35,63866347,5,1,250,50,50,50,50,0,50,50,50,0,4.69731,0.09395,1.28E+07,2.69E+07,6.09E+07,749557,6.31E+07,1.58E+07,3.01E+07,6.09E+07,749557,0,0,0,0,0,0,0,0,0,40,8,0.07829,0.01566,50,50,50,0,0,0,0,0,0,0,0,0,0,0,58.33333,50,50,0,0,0,0,0,0,5,250,1,50,-1,-1,5,0,1500085,0,1500085,1500085,6.09E+07,0,6.09E+07,6.09E+07,No Label
192.168.255.255-192.168.39.22-138-138-17,192.168.39.22,138,192.168.255.255,138,17,7/9/2018 17:32,1,1,1,207,230,207,207,207,0,230,230,230,0,4.37E+08,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1000000,1000000,207,230,222.33333,13.27906,176.33333,0,0,0,0,0,0,0,0,1,333.5,207,230,0,0,0,0,0,0,1,207,1,230,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.11.29-239.255.255.250-55872-1900-17,192.168.11.29,55872,239.255.255.250,1900,17,7/9/2018 17:36,3001858,3,1,519,173,173,173,173,0,173,173,173,0,230.5239,1.33251,1000619.333,532.52825,1001113,1000055,2001168,1000584,748.11897,1001113,1000055,0,0,0,0,0,0,0,0,0,24,8,0.99938,0.33313,173,173,173,0,0,0,0,0,0,0,0,0,0,0,216.25,173,173,0,0,0,0,0,0,3,519,1,173,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
192.168.9.16-239.255.255.250-62093-1900-17,192.168.9.16,62093,239.255.255.250,1900,17,7/9/2018 17:33,2999883,3,1,522,174,174,174,174,0,174,174,174,0,232.00905,1.33339,999961,2425.45089,1001499,997165,2002718,1001359,197.9899,1001499,1001219,0,0,0,0,0,0,0,0,0,24,8,1.00004,0.33335,174,174,174,0,0,0,0,0,0,0,0,0,0,0,217.5,174,174,0,0,0,0,0,0,3,522,1,174,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
192.168.27.30-239.255.255.250-59402-1900-17,192.168.27.30,59402,239.255.255.250,1900,17,7/9/2018 17:33,6002386,5,1,619,125,125,123,123.8,1.09545,125,125,125,0,123.95071,0.9996,1200477.2,1641316.219,2998802,1503,6000883,1500220.75,1730004.991,2998802,1950,0,0,0,0,0,0,0,0,0,40,8,0.833,0.1666,123,125,124.14286,1.06904,1.14286,0,0,0,0,0,0,0,0,0,144.83333,123.8,125,0,0,0,0,0,0,5,619,1,125,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
192.168.37.21-239.255.255.250-50643-1900-17,192.168.37.21,50643,239.255.255.250,1900,17,7/9/2018 17:36,3001437,3,1,522,174,174,174,174,0,174,174,174,0,231.88893,1.33269,1000479,588.2066,1001121,999966,2001087,1000543.5,816.70833,1001121,999966,0,0,0,0,0,0,0,0,0,24,8,0.99952,0.33317,174,174,174,0,0,0,0,0,0,0,0,0,0,0,217.5,174,174,0,0,0,0,0,0,3,522,1,174,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
192.168.27.29-239.255.255.250-57405-1900-17,192.168.27.29,57405,239.255.255.250,1900,17,7/9/2018 17:35,3011719,3,1,522,174,174,174,174,0,174,174,174,0,231.09726,1.32815,1003906.333,5381.48542,1010115,1000579,2001604,1000802,315.36962,1001025,1000579,0,0,0,0,0,0,0,0,0,24,8,0.99611,0.33204,174,174,174,0,0,0,0,0,0,0,0,0,0,0,217.5,174,174,0,0,0,0,0,0,3,522,1,174,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
192.168.39.17-239.255.255.250-63517-1900-17,192.168.39.17,63517,239.255.255.250,1900,17,7/9/2018 17:35,15017057,5,1,665,133,133,133,133,0,133,133,133,0,53.13957,0.39955,3003411.4,6307.91517,3012586,2997133,1.20E+07,3002484.25,6879.1238,3012586,2997133,0,0,0,0,0,0,0,0,0,40,8,0.33295,0.06659,133,133,133,0,0,0,0,0,0,0,0,0,0,0,155.16667,133,133,0,0,0,0,0,0,5,665,1,133,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
